description,date,amount
skiwasser,2021-12-30,-20
birthday gift,2022-01-01,200
bakery,2022-01-03,-10
burger place,2022-01-12,-25
tshirts,2022-02-22,-77
salary,2022-02-25,3000
new laptop,2022-03-04,-1500
vacation,2022-04-06,-1000
soccer shoes,2022-04-08,-79
birthday present,2022-04-10,100
skis,2022-04-13,-700
drinks,2022-04-27,-15
leberkas,2022-04-29,-9
drinks,2022-04-29,-12
kartoffelsalat,2022-04-30,10
leberkas,2022-04-30,-25
Isle of Summer 2022,2022-05-07,-99.99
TOEFL Test,2022-04-24,-280
MVG,2022-05-12,-8.6
pizza,2022-05-12,-50.76
phone plan,2022-05-13,-7.99
salary,2022-05-13,3000
train ticket,2022-05-13,-15
bbq supplies,2022-05-13,-37.80
